17,52
740,52
559,424
820,415
880,718
867,814
1136,658
420,170
492,530
300,686
1201,233
1161,116
247,584
43,754
231,857
980,388
80,173
560,478
1148,4
1121,187
492,219
649,492
599,788
624,456
455,584
52,277
903,310
177,598
654,891
277,623
180,80
68,702
751,555
55,788
175,16
288,236
17,842
1215,122
1309,131
475,639
1148,113
475,670
140,763
251,767
261,191
177,84
1068,724
179,639
671,444
569,148
1051,297
1076,495
763,452
1,152
475,224
80,423
837,128
1033,399
649,402
234,443
1309,579
599,206
1245,703
0,787
1258,277
283,306
1120,877
611,140
703,386
377,175
825,439
32,651
653,47
1158,886
1300,348
243,770
913,206
1146,479
508,94
242,593
289,674
54,350
693,668
527,448
569,779
833,477
898,593
321,308
248,40
1295,544
1093,9
529,82
559,409
919,812
653,656
343,884
83,124
793,610
385,625
904,264
1145,686
229,32
326,107
425,862
1131,389
1143,487
1,579
1009,620
900,222
174,658
167,39
653,686
383,35
493,735
190,465
1255,572
334,371
652,612
1265,242
95,409
1101,507
363,611
1010,765
939,306
1022,236
189,129
146,94
575,91
726,61
837,724
310,128
1255,788
666,472
823,855
1309,847
1007,162
1033,271
480,207
371,812
1051,81
979,779
654,79
119,894
1131,488
1068,469
211,890
199,184
831,878
430,718
902,688
1183,486
412,301
865,535
639,444
887,788
616,672
43,140
617,2
1300,472
915,873
1227,322
802,352
641,779
1131,290
248,264
701,724
62,686
661,315
1125,609
1295,131
1233,689
723,365
579,767
1121,765
1148,227
907,799
1066,240
545,233
395,201
751,872
1062,630
985,231
5,315
735,91
70,833
899,91
584,514
492,675
701,242
559,609
127,486
1051,675
1148,245
1009,274
987,429
1287,605
134,505
830,616
1156,819
411,500
950,532
269,269
1285,123
408,672
180,814
672,318
498,187
321,627
1293,842
1255,635
711,788
162,677
1193,835
835,224
480,616
782,628
671,59
830,680
691,611
55,572
1300,239
976,371
360,532
656,891
80,672
885,837
117,390
721,191
62,208
741,148
343,668
549,872
1183,446
95,563
1076,451
905,205
574,49
385,717
162,331
1226,817
477,296
252,371
492,306
35,611
758,400
273,661
899,418
989,332
77,205
239,704
902,423
474,80
411,770
80,128
500,371
446,688
529,530
885,862
1068,21
294,532
783,408
381,233
321,332
751,424
1133,84
390,432
43,252
1149,208
1019,310
947,845
890,219
164,722
70,61
796,259
333,267
242,469
863,530
1163,672
219,348
830,687
411,842
545,728
325,628
1101,836
386,82
