"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"SIE00105938","1954-12-31","46.3792","13.8539","2514.0","KREDARICA, SI","   13",",,E",,,,,,,,
"SIE00105938","1955-01-01","46.3792","13.8539","2514.0","KREDARICA, SI","   11",",,E",,," -161",",,E"," -191",",,E",,
"SIE00105938","1955-01-02","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,," -136",",,E"," -206",",,E",,
"SIE00105938","1955-01-03","46.3792","13.8539","2514.0","KREDARICA, SI","   10",",,E",,,"  -70",",,E"," -170",",,E",,
"SIE00105938","1955-01-04","46.3792","13.8539","2514.0","KREDARICA, SI","   14",",,E",,,"  -40",",,E","  -80",",,E",,
"SIE00105938","1955-01-05","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"    6",",,E","  -50",",,E",,
"SIE00105938","1955-01-06","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"   -5",",,E","  -75",",,E",,
"SIE00105938","1955-01-07","46.3792","13.8539","2514.0","KREDARICA, SI","  100",",,E",,,"  -28",",,E","  -56",",,E",,
"SIE00105938","1955-01-08","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"    0",",,E","  -60",",,E",,
"SIE00105938","1955-01-09","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"  -55",",,E","  -79",",,E",,
"SIE00105938","1955-01-10","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"  -15",",,E","  -84",",,E",,
"SIE00105938","1955-01-11","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"   10",",,E","  -50",",,E",,
"SIE00105938","1955-01-12","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"    0",",,E","  -43",",,E",,
"SIE00105938","1955-01-13","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"    5",",,E","  -50",",,E",,
"SIE00105938","1955-01-14","46.3792","13.8539","2514.0","KREDARICA, SI","   32",",,E",,,"   -8",",,E","  -50",",,E",,
"SIE00105938","1955-01-15","46.3792","13.8539","2514.0","KREDARICA, SI","    0",",,E",,,"   -7",",,E","  -83",",,E",,
"SIE00105938","1955-01-16","46.3792","13.8539","2514.0","KREDARICA, SI","  412",",,E",,,"    0",",,E","  -75",",,E",,
"SIE00105938","1955-01-17","46.3792","13.8539","2514.0","KREDARICA, SI","   73",",,E",,,"  -30",",,E"," -115",",,E",,
"SIE00105938","1955-01-18","46.3792","13.8539","2514.0","KREDARICA, SI","  157",",,E",,,"  -35",",,E"," -140",",,E",,
